Time,ExtensoinRegistered,LinkusWebLogged,LinkusMobileLogged,LinkusPCLogged
Fri Aug 12 19:33:01 UTC+8 2022,6,2,0,0
Fri Aug 12 19:33:11 UTC+8 2022,6,2,0,0
Fri Aug 12 19:33:41 UTC+8 2022,6,2,0,0
Fri Aug 12 19:33:51 UTC+8 2022,6,1,0,0
Fri Aug 12 19:34:01 UTC+8 2022,6,1,0,0
Fri Aug 12 19:34:11 UTC+8 2022,6,1,0,0
Fri Aug 12 19:34:21 UTC+8 2022,6,1,1,1
Fri Aug 12 19:34:31 UTC+8 2022,6,1,1,1
Fri Aug 12 19:34:41 UTC+8 2022,6,1,0,0
Fri Aug 12 19:34:51 UTC+8 2022,6,1,0,0
Fri Aug 12 19:35:23 UTC+8 2022,6,1,0,0
Fri Aug 12 19:35:34 UTC+8 2022,6,1,0,0
Fri Aug 12 19:35:44 UTC+8 2022,6,1,0,0
Fri Aug 12 19:35:54 UTC+8 2022,6,1,0,0
Fri Aug 12 19:36:04 UTC+8 2022,6,1,0,0
Fri Aug 12 19:36:14 UTC+8 2022,6,1,0,0
Fri Aug 12 19:36:24 UTC+8 2022,6,1,0,0
Fri Aug 12 19:36:34 UTC+8 2022,6,1,0,0
Fri Aug 12 19:36:44 UTC+8 2022,6,1,0,0
Fri Aug 12 19:36:54 UTC+8 2022,6,1,0,1
Fri Aug 12 19:37:05 UTC+8 2022,6,1,0,1
Fri Aug 12 19:37:15 UTC+8 2022,6,1,0,0
Fri Aug 12 19:37:25 UTC+8 2022,6,1,0,0
